Type,created_at,favorite_count,geo_enabled,id,retweet_count,source,text,time_zone,user_created_at,user_description,user_followers_count,user_friends_count,user_id,user_location,user_name,user_screen_name
,04/02/17 0:44,0,TRUE,8.48E+17,226,Twitter for iPhone,RT @littlebutLIT: But y'all have yet to mention the endless missing girls in DC. Who cares about a dumb ass fucking cow #FINDOURGIRLS ‼️ ht…,Arizona,12/21/11 23:55,stop lurkin bitch.,6404,6913,443238707,AZ,chill 🍃✨,_thekiddee
,04/02/17 0:40,0,FALSE,8.48E+17,49,Twitter for iPhone,RT @MissingKids: Story About DC Missing Girls Highlights Concerns About #HumanTrafficking and Media's Lack of Coverage https://t.co/KhsaadD…,Central Time (US & Canada),06/09/09 19:58,"Trying to rid the world of sexual violence one person at a time, advocate for domestic and sexual violence, educator, rookie athlete, EMDR certified therapist,",171,416,45926124,VT,Kira Krier,stoprapenow
,04/02/17 0:37,0,TRUE,8.48E+17,226,Twitter for iPhone,RT @littlebutLIT: But y'all have yet to mention the endless missing girls in DC. Who cares about a dumb ass fucking cow #FINDOURGIRLS ‼️ ht…,Tijuana,06/26/12 4:00,sc: febsix,665,576,618707972,TX,Beatriz 🔆,erica_ramirez25
,04/02/17 0:37,0,TRUE,8.48E+17,226,Twitter for iPhone,RT @littlebutLIT: But y'all have yet to mention the endless missing girls in DC. Who cares about a dumb ass fucking cow #FINDOURGIRLS ‼️ ht…,,07/19/13 6:19,sc: lexis_luhbaby,274,645,1605258541,GA,Elexis ✨,__shatoriaaaa
,04/02/17 0:36,0,TRUE,8.48E+17,49,Twitter for iPhone,RT @MissingKids: Story About DC Missing Girls Highlights Concerns About #HumanTrafficking and Media's Lack of Coverage https://t.co/KhsaadD…,Eastern Time (US & Canada),04/29/12 2:10,,31,98,565902242,MA,Julianna72,juliannaboston
,04/02/17 0:35,0,TRUE,8.48E+17,0,Google,I liked a @YouTube video from @conspiracydode https://t.co/tiBCADOOox Missing DC girls (Critical Analysis),,12/03/09 3:52,,121,368,94248452,CA,PATSY CHAMBERS,PATSYCH1480
,04/02/17 0:34,0,TRUE,8.48E+17,226,Twitter for iPhone,RT @littlebutLIT: But y'all have yet to mention the endless missing girls in DC. Who cares about a dumb ass fucking cow #FINDOURGIRLS ‼️ ht…,Atlantic Time (Canada),03/12/13 0:18,fbgm #SouthernNotState,5548,4858,1260713930,GA,cam bam ✨💥,hoeslovecamm_
,04/02/17 0:34,0,TRUE,8.48E+17,226,Twitter for iPhone,RT @littlebutLIT: But y'all have yet to mention the endless missing girls in DC. Who cares about a dumb ass fucking cow #FINDOURGIRLS ‼️ ht…,Eastern Time (US & Canada),02/19/11 19:16,💠Some girls were born with glitter in their hearts! 💠Secure & Protect the 💰💠Cap ♑️💠IG:xms_dollx3 💠Snapchat: xms_dollx3💠,695,457,254670663,OH,👑EB🦋,CoCoDollx3
,04/02/17 0:34,0,TRUE,8.48E+17,226,Twitter for iPhone,RT @littlebutLIT: But y'all have yet to mention the endless missing girls in DC. Who cares about a dumb ass fucking cow #FINDOURGIRLS ‼️ ht…,Quito,09/28/11 21:10,i have places to go and things to be before I believe im any type of free. she/her. #theresistance. college sophomore. Madrid 2017 🇪🇸 ||too rad to care.,1453,1545,381737826,NC,free jasmine.,itsjasw_
,04/02/17 0:33,0,TRUE,8.48E+17,226,Twitter for iPhone,RT @littlebutLIT: But y'all have yet to mention the endless missing girls in DC. Who cares about a dumb ass fucking cow #FINDOURGIRLS ‼️ ht…,,11/12/14 20:41,| CSU20 CheerPhi❤️ | Pre-Law🤓💼,1872,2309,2874264766,MI,$tunna👸🏾💚,Detroit_olivee
,04/02/17 0:33,0,TRUE,8.48E+17,226,Twitter for iPhone,RT @littlebutLIT: But y'all have yet to mention the endless missing girls in DC. Who cares about a dumb ass fucking cow #FINDOURGIRLS ‼️ ht…,,05/10/14 3:40,5/16/16 💍,785,688,2538277193,TX,baby.lean,babyleans97
,04/02/17 0:33,0,TRUE,8.48E+17,226,Twitter for iPhone,RT @littlebutLIT: But y'all have yet to mention the endless missing girls in DC. Who cares about a dumb ass fucking cow #FINDOURGIRLS ‼️ ht…,Central Time (US & Canada),01/07/10 16:18,19. i drove you crazy. style. photos. food. interiors. FMOI @mannydalva #tamu19,548,1474,102720369,TX,Manny,ManuelDAlvarado
,04/02/17 0:33,0,TRUE,8.48E+17,226,Twitter for iPhone,RT @littlebutLIT: But y'all have yet to mention the endless missing girls in DC. Who cares about a dumb ass fucking cow #FINDOURGIRLS ‼️ ht…,Eastern Time (US & Canada),06/26/09 1:00,"Your favorite ""reverse racist."" Somewhere drinking white tears, belittling a man, and/or breaking the gender-binary. #BlackLivesMatter",2666,2304,50852258,PA,#Rashade,TheRasheedDavis
,04/02/17 0:31,1,TRUE,8.48E+17,0,Twitter for iPhone,"@McSAMN @TeamTrumpAZ Wow, amazing. I wonder if a sex ring has anything to do with the missing girls &amp; boys in DC",,09/21/13 5:38,Last surviving Revolutionary War Veteran. Let's Roll. Remember 911. President Trump 2017,1196,1709,1889049655,AZ,Deplorable KC,KcDeplorable
,04/02/17 0:21,0,TRUE,8.48E+17,226,Twitter for iPhone,RT @littlebutLIT: But y'all have yet to mention the endless missing girls in DC. Who cares about a dumb ass fucking cow #FINDOURGIRLS ‼️ ht…,,10/14/15 13:04,I'm just tryna live life with a few friends.,207,165,3891876134,TX,Sunshine,ihopshortstack_
,04/02/17 0:21,0,TRUE,8.48E+17,3,Twitter for iPhone,"RT @thetartan: Missing Girls in DC: [From the Editorial Board] Where are they? It’s been long enough.
https://t.co/B8N3qcd9VF https://t.co/…",America/New_York,05/28/09 16:01,"I'm a professional model.
Instagram: @yonaheveline",57780,343,43137141,FL,Yonah Eveline,yonaheveline
,04/02/17 0:20,0,FALSE,8.48E+17,4,Twitter for Android,"RT @donwinslow: Important piece.

Girls Go Missing, and Washington’s Racial Divide Yawns Wider 

https://t.co/cVelyFxcrB",Pacific Time (US & Canada),08/20/12 15:36,"Writer/Director/Producer of @Tentacle8 Available now on Itunes, Google Play, Amazon Video, Vimeo, IndieFlix, and others #SupportIndieFilm",434,533,769727550,CA,John Chi,hipislandfilms
,04/02/17 0:16,0,FALSE,8.48E+17,4,Mobile Web (M5),"RT @donwinslow: Important piece.

Girls Go Missing, and Washington’s Racial Divide Yawns Wider 

https://t.co/cVelyFxcrB",Atlantic Time (Canada),08/30/10 20:05,Worried man with a worried mind,294,767,184913941,PA,Some Schmuck,scabbyscribe56
,04/02/17 0:01,0,TRUE,8.48E+17,0,Facebook,The media tells us about missing girls in DC which could be a false flag in making us emotional cause they black... https://t.co/FpqyzWNNqK,Quito,03/20/11 0:50,Check out my music https://t.co/ds1GENfaEg (: Follow me on Instagram: https://t.co/C6q9QXyzqo :D (=,2370,769,269050234,GA,Spoon,PrettiBoyBrian
,04/01/17 23:59,0,FALSE,8.48E+17,0,Twitter for iPhone,@CNN I'm tired of your reports about the 1 blond hair/blue eyed girl...What about all of the missing BLACK girls in DC???,,11/21/14 0:45,,46,69,2886354941,DC,Futhi Xaba,MadeInSwaziland
,04/01/17 23:55,8,FALSE,8.48E+17,1,Twitter for iPhone,Update: FBI agents assigned to find missing DC girls now investigating deer for possible conspiracy to steal trophy https://t.co/5q4BB11Gog,Eastern Time (US & Canada),07/30/14 17:27,"Counseling@Northwestern | UMD | sports & social justice | Titans, Preds, Dores & Terps",4303,2133,2693480258,MD,Hannah Stein,hannahjewcy
,04/01/17 23:53,0,TRUE,8.48E+17,49,Twitter for iPad,RT @MissingKids: Story About DC Missing Girls Highlights Concerns About #HumanTrafficking and Media's Lack of Coverage https://t.co/KhsaadD…,Eastern Time (US & Canada),10/20/13 19:57,The official Twitter account of the Norfolk(MA) Police Department.  This account is not monitored 24/7.  To report an emergency or criminal activity dial 911.,3931,440,1976242820,MA ,"Norfolk,MA Police",NorfolkMAPolice
,04/01/17 23:47,0,TRUE,8.48E+17,417,Twitter for Android,"RT @nahpeach: ""There's no human trafficking."" - @MayorBowser Tonight I questioned the mayor about the missing DC girls. #missingdcgirls #fi…",Central Time (US & Canada),02/17/09 4:25,"Dragon Slayer, Master of Kamehameha wave, grower of two cantaloupes, a problem, leader of a faith community, Beautiful Mess",1805,2025,21063822,GA,TheMissourian,solomonmissouri
,04/01/17 23:41,0,FALSE,8.48E+17,1729,Mobile Web (M5),RT @DMVFollowers: Photos from the D.C. town hall meeting about DC's missing girls this morning. A room full of African-Americans but #AllLi…,,04/23/14 3:51,,33,175,2459151859,DC,JK Walker,jkwpdx67
,04/01/17 23:40,0,TRUE,8.48E+17,49,Twitter for Windows,RT @MissingKids: Story About DC Missing Girls Highlights Concerns About #HumanTrafficking and Media's Lack of Coverage https://t.co/KhsaadD…,Eastern Time (US & Canada),05/03/11 20:16,"Just a simple guy that loves smooth jazz,Retired Heavy Steel Plate Fabricator",285,498,292535256,MA,davidhmokal,moresee2
,04/01/17 23:37,0,FALSE,8.48E+17,0,Twitter Web Client,Girls in DC are not Missing--They are Being Disappeared https://t.co/7g1lVgrwZq via @HuffPostImpact,Eastern Time (US & Canada),06/29/11 3:15,"Writer, and glutton for books.",1192,3084,325932977,NJ,Nicole Burney,MajestyJames1
,04/01/17 23:32,0,TRUE,8.48E+17,38,Twitter for iPhone,RT @blackmattersus: DC Mayor Muriel Bowser Creates Task Force For Missing Girls https://t.co/q6wuP1kOOy,Central Time (US & Canada),12/09/07 0:33,"I speak, write and organize because I cannot be silent nor still in the face of oppression. #TEDx 2016 & 2017. Day job @tfamemphis. #blacklivesmatter",3078,2639,10982522,TN,Tami Sawyer,tamisawyer
,04/01/17 23:31,0,TRUE,8.48E+17,38,Twitter Web Client,RT @blackmattersus: DC Mayor Muriel Bowser Creates Task Force For Missing Girls https://t.co/q6wuP1kOOy,Central Time (US & Canada),05/03/09 0:50,Social Media Strategist| ActiVist |#BLACKLIVESMATTER  UniqueLoves! Prayer Warrior and Protectress for All Mankind Global Networker 1LOVE 1PEACE 1MIC,14320,11856,37323294,IL,Carla Kibble,uniqueloves
,04/01/17 23:29,0,TRUE,8.48E+17,46,Twitter Web Client,"RT @blackmattersus: Please make your contribution, share this information and help to make #missingdcgirls trending!
https://t.co/ZE5je3eXXB",Central Time (US & Canada),05/03/09 0:50,Social Media Strategist| ActiVist |#BLACKLIVESMATTER  UniqueLoves! Prayer Warrior and Protectress for All Mankind Global Networker 1LOVE 1PEACE 1MIC,14320,11856,37323294,IL,Carla Kibble,uniqueloves
,04/01/17 23:24,0,TRUE,8.48E+17,226,Twitter for iPhone,RT @littlebutLIT: But y'all have yet to mention the endless missing girls in DC. Who cares about a dumb ass fucking cow #FINDOURGIRLS ‼️ ht…,Quito,05/01/10 0:00,Honda • ES1,1119,237,138904124,PA,马修,Matt_es1
,04/01/17 23:24,0,TRUE,8.48E+17,417,Tweetlogix,"RT @nahpeach: ""There's no human trafficking."" - @MayorBowser Tonight I questioned the mayor about the missing DC girls. #missingdcgirls #fi…",Quito,04/05/09 1:55,Our Gods are not the same,2639,1915,28917264,MD,أحمد,TheAngelKing
,04/01/17 23:23,0,TRUE,8.48E+17,6,Twitter for iPhone,RT @SportsTalkTasha: Why didn't they take such evasive action to find the missing DC girls? https://t.co/EREyiMiNc0,Eastern Time (US & Canada),04/16/09 16:49,Black M.O.B. #HTTR #TarHeels #Noles #Bulls,935,828,31971462,NC,Jazz J,MrDoNumbers
,04/01/17 23:21,0,TRUE,8.48E+17,0,Facebook,Here Are The Missing D.C. Teens That Have Been Found So Far https://t.co/yD2BuwhfvZ,Eastern Time (US & Canada),10/12/14 9:19,,51,27,2852929998,MI,Alisa McGlaun,alisamcglaun
,04/01/17 23:20,0,TRUE,8.48E+17,0,Facebook,"Girls Go Missing, and Washington’s Racial Divide Yawns Wider https://t.co/QZZx25YWhb",Eastern Time (US & Canada),10/12/14 9:19,,51,27,2852929998,MI,Alisa McGlaun,alisamcglaun
,04/01/17 23:19,0,TRUE,8.48E+17,0,Facebook,Missing black girls in DC prompt calls for federal help https://t.co/hq3x5bhEqu,Eastern Time (US & Canada),10/12/14 9:19,,51,27,2852929998,MI,Alisa McGlaun,alisamcglaun
,04/01/17 23:19,0,TRUE,8.48E+17,884,Twitter for iPhone,RT @donnabrazile: Washington D.C. Police Are Asking The Public To Help Find Over 10 Missing Black Girls  https://t.co/q7HjiAA2PH via @thefa…,,10/11/10 13:52,"Garland, Tx Christian, wife, mother, grandmother, sister daughter. Enjoy life ❤🌈. snap. chat kmitchell2500.                          The. Resistence",347,1860,201271900,TX,Kathy,kmitchell2500
,04/01/17 23:15,0,FALSE,8.48E+17,226,Twitter for iPhone,RT @littlebutLIT: But y'all have yet to mention the endless missing girls in DC. Who cares about a dumb ass fucking cow #FINDOURGIRLS ‼️ ht…,,02/24/15 23:52,,206,256,3040490532,GA,Drew 🌺,Andr3Lee
,04/01/17 23:08,0,TRUE,8.48E+17,226,Twitter for iPhone,RT @littlebutLIT: But y'all have yet to mention the endless missing girls in DC. Who cares about a dumb ass fucking cow #FINDOURGIRLS ‼️ ht…,Eastern Time (US & Canada),04/05/11 2:15,I am the BLACK Bill Gates in the Making... | Florida | Philippians 4:6 | #UWF20 | Biomedical Science 👨🏾‍⚕️|,1241,829,277286373,FL,Mr. President.,DeehMarioh
,04/01/17 23:01,0,TRUE,8.48E+17,226,Twitter Web Client,RT @littlebutLIT: But y'all have yet to mention the endless missing girls in DC. Who cares about a dumb ass fucking cow #FINDOURGIRLS ‼️ ht…,Pacific Time (US & Canada),12/05/16 5:07,,127,117,8.06E+17,MI,🐐🐐🐐,laanniii_
,04/01/17 22:59,0,TRUE,8.48E+17,0,Twitter for iPhone,but maybe let's put this much effort into looking for the missing girls in DC. #MissingWhiteGirlSyndrome #missinggirlsDC,Pacific Time (US & Canada),03/02/10 17:59,stay woke. fight for ur rights. it's all we got left ✊🏽✊🏽,424,127,119107376,CA,elizabitch 🇸🇻🌹,supremeelix_
,04/01/17 22:59,0,TRUE,8.48E+17,0,Twitter for iPhone,@CNN @smerconish WHY are you covering this asshat with a special interview when tons of actual African American gir… https://t.co/EDWAqTFgFd,Eastern Time (US & Canada),11/15/13 20:47,"Professor, Writer, runner, hunter, gardener.",168,215,2196597276,OH,Jamie Lyn Smith,knoxcogirl
,04/01/17 22:55,0,FALSE,8.48E+17,50825,Twitter for Android,RT @DeeTwoCents: Can someone explain to me how 14 black girls go missing in 24 hours in DC and it's not a goddamn news story?!? https://t.c…,,06/17/15 1:35,"I'm Mentally 6 hours late and physically
the first one there",210,1011,3330463995,OH,❌❌💀👻👹❌❌,LeaveMeBeOK
,04/01/17 22:50,0,FALSE,8.48E+17,1,Twitter for Android,"RT @RudeBoiRNr96: a situation,police conference,missing person reports,community out cry.YTF isn't it on the News.A lot of Black girls went…",,02/18/17 17:40,"Feeling like im lesser than the average person,when I know without a doubt and trying to prove it with no favor or help from others that I am greatly superior.",138,161,8.33E+17,SC,RatedR💸52♠96,RudeBoiRNr96
,04/01/17 22:49,0,FALSE,8.48E+17,226,Twitter for iPhone,RT @littlebutLIT: But y'all have yet to mention the endless missing girls in DC. Who cares about a dumb ass fucking cow #FINDOURGIRLS ‼️ ht…,,12/29/14 0:05,,402,169,2946773651,GA,maddie,bbymaddiie
,04/01/17 22:49,0,FALSE,8.48E+17,226,Twitter for iPhone,RT @littlebutLIT: But y'all have yet to mention the endless missing girls in DC. Who cares about a dumb ass fucking cow #FINDOURGIRLS ‼️ ht…,,02/27/17 18:59,,238,168,8.36E+17,DC,Avril.🇹🇹,_AvrilYvonne
,04/01/17 22:46,0,FALSE,8.48E+17,49,Twitter for Android,RT @MissingKids: Story About DC Missing Girls Highlights Concerns About #HumanTrafficking and Media's Lack of Coverage https://t.co/KhsaadD…,,09/07/15 16:40,why are there so many monsters in this world  that are violent to those that can not defend themselves? The greatest gift is kindness so hard to find. weary,571,889,3578665155,NY,kathleen burns,BurnsKarhleen
,04/01/17 22:41,0,FALSE,8.48E+17,0,Twitter for Android,@ABCWorldNews @ABC7NY She loves the old man.Not held against her will.She's walking behind him. What about the missing black girls in DC?,,12/29/14 0:20,,72,197,2946965746,NY,Carol Mckelvie,carolmckelvie1
,04/01/17 22:41,0,FALSE,8.48E+17,226,Twitter for iPhone,RT @littlebutLIT: But y'all have yet to mention the endless missing girls in DC. Who cares about a dumb ass fucking cow #FINDOURGIRLS ‼️ ht…,,11/22/15 21:55,4/21 Jaylen Jeremiah🗯🔜🚼,428,858,4252560777,TX,@££¥♥️♣️,ALL_IS_ON34
,04/01/17 22:40,0,FALSE,8.48E+17,226,Twitter for iPhone,RT @littlebutLIT: But y'all have yet to mention the endless missing girls in DC. Who cares about a dumb ass fucking cow #FINDOURGIRLS ‼️ ht…,,05/27/16 0:52,UofL16❤️ #BlackGirlMagic #MelaninIsPower #BlackUnityMatters #BlackLoveMatters #BlackLivesMatter #MelaninMakesYouGod,299,517,7.36E+17,KY,👸🏾✨👼🏾💝,litodaqueen
,04/01/17 22:39,0,TRUE,8.48E+17,226,Twitter for iPhone,RT @littlebutLIT: But y'all have yet to mention the endless missing girls in DC. Who cares about a dumb ass fucking cow #FINDOURGIRLS ‼️ ht…,Arizona,09/06/11 10:01,"Heavy is the crown, but I wear it with ease 👑 • Makeup Enthusiast ✨🕊 • ll Corinthians 12:9-11 🙏🏾 • OSU'21 🎓",1218,858,368845197,AZ,queen renèe 💋,QurRenee
,04/01/17 22:39,0,TRUE,8.48E+17,226,Twitter for iPhone,RT @littlebutLIT: But y'all have yet to mention the endless missing girls in DC. Who cares about a dumb ass fucking cow #FINDOURGIRLS ‼️ ht…,Quito,10/11/10 23:41,To Book Dj Ty contact Me in my DM ! Follow My IG @DjTyTheFuture Follow Bro @KuntryYamean MA5️⃣E Luh Babeh,5869,3439,201488735,DE,#StayGettinPlayed,DjTyTheFuture
,04/01/17 22:38,0,FALSE,8.48E+17,226,Twitter for iPhone,RT @littlebutLIT: But y'all have yet to mention the endless missing girls in DC. Who cares about a dumb ass fucking cow #FINDOURGIRLS ‼️ ht…,,12/17/15 19:34,IG: Destadauwitt,747,610,4516924287,PA,poison.,DestaDauwitt
,04/01/17 22:37,0,FALSE,8.48E+17,3,Twitter Web Client,"RT @thetartan: Missing Girls in DC: [From the Editorial Board] Where are they? It’s been long enough.
https://t.co/B8N3qcd9VF https://t.co/…",Eastern Time (US & Canada),03/14/09 1:20,CMU'13. Television Enthusiast. Chronic illness advocate. Cat wrangler. Sometimes I write things. #Binders,149,195,24300063,VA,Bradley,bgjamison
,04/01/17 22:37,0,TRUE,8.48E+17,226,Twitter for iPhone,RT @littlebutLIT: But y'all have yet to mention the endless missing girls in DC. Who cares about a dumb ass fucking cow #FINDOURGIRLS ‼️ ht…,,03/30/12 3:42,#TxSU21🐯...... I heard you can't progress unless you struggle sooo here I am,2262,959,540498593,TX,hakuna matata🤤,WinterrsINC
,04/01/17 22:36,0,TRUE,8.48E+17,226,Twitter for iPhone,RT @littlebutLIT: But y'all have yet to mention the endless missing girls in DC. Who cares about a dumb ass fucking cow #FINDOURGIRLS ‼️ ht…,,11/09/15 16:36,,749,561,4150425442,TX,april 17th 🤘🏾,jemeliaa
,04/01/17 22:35,0,TRUE,8.48E+17,226,Twitter for iPhone,RT @littlebutLIT: But y'all have yet to mention the endless missing girls in DC. Who cares about a dumb ass fucking cow #FINDOURGIRLS ‼️ ht…,Pacific Time (US & Canada),07/13/13 14:58,,1438,1436,1591162728,TX,el plaga,Bankrolll_ty
,04/01/17 22:35,0,FALSE,8.48E+17,226,Twitter for iPhone,RT @littlebutLIT: But y'all have yet to mention the endless missing girls in DC. Who cares about a dumb ass fucking cow #FINDOURGIRLS ‼️ ht…,,01/28/17 8:42,Flower Child 🌸 Novelist 📚 Believer 🙏🏾 Sc: chiaa_moneyy,139,120,8.25E+17,IL,Mochhh😻🍫,mochhhmean
,04/01/17 22:35,1,FALSE,8.48E+17,1,Twitter for Android,"a situation,police conference,missing person reports,community out cry.YTF isn't it on the News.A lot of Black girls went missing in DC🤔",,02/18/17 17:40,"Feeling like im lesser than the average person,when I know without a doubt and trying to prove it with no favor or help from others that I am greatly superior.",138,161,8.33E+17,SC,RatedR💸52♠96,RudeBoiRNr96
,04/01/17 22:34,0,FALSE,8.48E+17,226,Twitter for iPhone,RT @littlebutLIT: But y'all have yet to mention the endless missing girls in DC. Who cares about a dumb ass fucking cow #FINDOURGIRLS ‼️ ht…,,05/30/16 18:11,|•dancer•|•baddest bitch•|,351,1024,7.37E+17,VA,kiera carin,woahits_kaycee
,04/01/17 22:33,0,FALSE,8.48E+17,226,Twitter for iPhone,RT @littlebutLIT: But y'all have yet to mention the endless missing girls in DC. Who cares about a dumb ass fucking cow #FINDOURGIRLS ‼️ ht…,,02/01/15 0:47,Get Money! FOLLOW BACK,5093,4812,3005588178,FL,R.I.P Eazy E,florida_money
,04/01/17 22:33,0,TRUE,8.48E+17,226,Twitter for iPhone,RT @littlebutLIT: But y'all have yet to mention the endless missing girls in DC. Who cares about a dumb ass fucking cow #FINDOURGIRLS ‼️ ht…,Pacific Time (US & Canada),05/13/15 21:15,$$$,313,186,3252738635,DMV,j,luvajas
,04/01/17 22:33,0,FALSE,8.48E+17,226,Twitter for Android,RT @littlebutLIT: But y'all have yet to mention the endless missing girls in DC. Who cares about a dumb ass fucking cow #FINDOURGIRLS ‼️ ht…,Arizona,03/25/13 17:14,I AM THE BEST ™️,2917,2165,1300301502,AZ,⁴,HOELESSNICOLE
,04/01/17 22:32,0,TRUE,8.48E+17,226,Twitter for iPhone,RT @littlebutLIT: But y'all have yet to mention the endless missing girls in DC. Who cares about a dumb ass fucking cow #FINDOURGIRLS ‼️ ht…,,11/06/16 4:59,focused on 💰RKO'n these bitches,454,840,7.95E+17,VA,leek da GOD 😎💯🤑,malik_coles
,04/01/17 22:32,0,TRUE,8.48E+17,226,Twitter for iPhone,RT @littlebutLIT: But y'all have yet to mention the endless missing girls in DC. Who cares about a dumb ass fucking cow #FINDOURGIRLS ‼️ ht…,Central Time (US & Canada),03/30/09 16:38,@k1hunnid namba moja!💙💚,1242,887,27675851,TX,RELL☥,rellnauls
,04/01/17 22:31,0,TRUE,8.48E+17,226,Twitter for iPhone,RT @littlebutLIT: But y'all have yet to mention the endless missing girls in DC. Who cares about a dumb ass fucking cow #FINDOURGIRLS ‼️ ht…,Central Time (US & Canada),03/25/11 2:21,#SUBR,1785,1399,271726786,CA,#Maxed,restbrandon
,04/01/17 22:31,0,TRUE,8.48E+17,226,Twitter for iPhone,RT @littlebutLIT: But y'all have yet to mention the endless missing girls in DC. Who cares about a dumb ass fucking cow #FINDOURGIRLS ‼️ ht…,Eastern Time (US & Canada),12/06/11 3:05,I sometimes don't understand love but oh well 💔🤷🏿‍♂️ | IG: cozyty._ 🎈 | 2️⃣5️⃣2️⃣📍,2676,1631,429544464,NC,Ty 🌊☔️®,WavyTy__
